"word","freq"
"mieli",12
"młody",12
"naukę",12
"niby",12
"piatek",12
"pierogi",12
"pociąg",12
"początek",12
"podoba",12
"pojechał",12
"polsce",12
"porządku",12
"poszlo",12
"powoli",12
"południu",12
"prawda",12
"póki",12
"sanoka",12
"strasznie",12
"studia",12
"syn",12
"słychać",12
"słyszałem",12
"uwazaj",12
"zaczyna",12
"zadanie",12
"zajęciach",12
"zjadłem",12
"znajomych",12
"zrobione",12
"zupa",12
"ładna",12
"bierze",11
"bilet",11
"brak",11
"buty",11
"byles",11
"całkiem",11
"chciał",11
"dostał",11
"druga",11
"drugim",11
"dzięki",11
"długo",11
"fajna",11
"filip",11
"godziny",11
"gorzej",11
"grał",11
"idziesz",11
"kolację",11
"kupuj",11
"kupuję",11
"lepsza",11
"lepszy",11
"lewo",11
"meble",11
"mowilam",11
"możemy",11
"najwyżej",11
"nikt",11
"noc",11
"numer",11
"obiad",11
"obiedzie",11
"ogólnie",11
"ostatni",11
"pamietam",11
"plan",11
"pojechal",11
"pokazuje",11
"powrotem",11
"prostu",11
"przerwy",11
"przyszłym",11
"pyta",11
"pół",11
"późno",11
"rady",11
"same",11
"sami",11
"siatki",11
"spotkanie",11
"strona",11
"szkole",11
"tygodnia",11
"tys",11
"tą",11
"uczelnię",11
"uda",11
"warszawie",11
"wczesniej",11
"wiemy",11
"wody",11
"wojtek",11
"wracamy",11
"wychodzi",11
"wydział",11
"wypadek",11
"wysłałem",11
"wyślij",11
"zadzwoń",11
"zależy",11
"znajomi",11
"angielski",10
"bloku",10
"bogu",10
"boli",10
"bylismy",10
"centrum",10
"ceny",10
"chwila",10
"chłodno",10
"coz",10
"czym",10
"dac",10
"deszczu",10
"dokumenty",10
"droga",10
"dłużej",10
"gościa",10
"jacek",10
"jednej",10
"jedzenia",10
"jedziecie",10
"kanapki",10
"kolacje",10
"kończy",10
"kuchni",10
"kupię",10
"lewej",10
"małe",10
"miec",10
"musimy",10
"myc",10
"niedziela",10
"nieźle",10
"pamiętaj",10
"pogrzeb",10
"polu",10
"poszedł",10
"powiedzial",10
"proboszcza",10
"programowania",10
"przynajmniej",10
"przyszły",10
"robimy",10
"siatke",10
"siedzę",10
"slonce",10
"szpitalu",10
"trasie",10
"tę",10
"warto",10
"wawa",10
"zapytaj",10
"zobacz",10
"zostanie",10
"badz",9
"bartek",9
"bieszczady",9
"bigos",9
"chcieli",9
"chodził",9
"ciekawa",9
"ciekawego",9
"cieplej",9
"cypka",9
"czyta",9
"dal",9
"damy",9
"danych",9
"duchota",9
"egzaminu",9
"fryzjer",9
"grać",9
"grupy",9
"isc",9
"jankiem",9
"kacper",9
"kase",9
"kim",9
"kina",9
"kolo",9
"kolokwia",9
"lipa",9
"michał",9
"mieliśmy",9
"mlody",9
"możecie",9
"mroz",9
"musiał",9
"myślałam",9
"mówię",9
"najważniejsze",9
"napisałem",9
"niezle",9
"oczywiscie",9
"oslo",9
"paulina",9
"pieniadze",9
"pieniądze",9
"pisz",9
"piszę",9
"pizzy",9
"pkt",9
"plus",9
"pojadę",9
"pojechać",9
"polacy",9
"powiedział",9
"powrót",9
"przegrali",9
"przelew",9
"pytał",9
"rower",9
"samochód",9
"spi",9
"spodnie",9
"staszica",9
"szału",9
"szedł",9
"szef",9
"tromso",9
"ucz",9
"warszawa",9
"wezmij",9
"widok",9
"widze",9
"wizytę",9
"większość",9
"woli",9
"wolny",9
"wrócę",9
"wszędzie",9
"wygrali",9
"wysłała",9
"zabierz",9
"zaczęło",9
"zajmuje",9
"zastanawiam",9
"zazyj",9
"ziemi",9
"zmienić",9
"zmęczony",9
"znasz",9
"zrobię",9
"zrób",9
"adrian",8
"apartament",8
"auta",8
"autem",8
"babcią",8
"bierz",8
"biurko",8
"blazejem",8
"burze",8
"byłam",8
"byś",8
"chcę",8
"chmury",8
"chory",8
"chwilą",8
"ciotka",8
"czapka",8
"czego",8
"czuje",8
"część",8
"dać",8
"dlugo",8
"duży",8
"dziadzia",8
"dziala",8
"dzieje",8
"dziewczyny",8
"dzwonil",8
"firmy",8
"fryzjera",8
"galerii",8
"generalnie",8
"godzinę",8
"gral",8
"hotelu",8
"jade",8
"janek",8
"jesc",8
"jeść",8
"jeździ",8
"karty",8
"kawa",8
"kawe",8
"kilku",8
"klasy",8
"kol",8
"kolega",8
"kolor",8
"koniecznie",8
"kończę",8
"książki",8
"kupic",8
"lata",8
"lekko",8
"lepsze",8
"miarę",8
"miała",8
"miesiąc",8
"mikołaj",8
"model",8
"muszą",8
"myślałem",8
"myśli",8
"myśmy",8
"mówiłam",8
"nalesniki",8
"naszym",8
"nowa",8
"okien",8
"oprócz",8
"opłaty",8
"osob",8
"ostry",8
"papryka",8
"pieknie",8
"pierwsza",8
"pierwszym",8
"pogody",8
"pogodę",8
"pojdzie",8
"pokój",8
"politechnice",8
"popołudniu",8
"potrzeby",8
"powiedz",8
"pracujesz",8
"pranie",8
"prawej",8
"proste",8
"przerwie",8
"przychodzi",8
"przyjedziesz",8
"przyszlym",8
"prąd",8
"pójdę",8
"radę",8
"rafał",8
"robic",8
"rowerze",8
"siedzimy",8
"sierpnia",8
"sklepie",8
"sklepu",8
"sniadanie",8
"spisz",8
"sprawa",8
"stopni",8
"studiów",8
"suzuki",8
"szychu",8
"tacie",8
"takiej",8
"telefonu",8
"treningu",8
"udalo",8
"warszawy",8
"wieczór",8
"wiedział",8
"wit",8
"witaminy",8
"wrocil",8
"wrociles",8
"wyjdzie",8
"zabrac",8
"zaczynam",8
"zadzwon",8
"zawody",8
"zdrowie",8
"zebys",8
"zle",8
"zmiana",8
"zrobi",8
"zrobic",8
"zrobil",8
"zrobił",8
"średnio",8
"👍",8
"adam",7
"aparat",7
"atmosfera",7
"blisko",7
"brzydko",7
"byłeś",7
"całej",7
"całym",7
"cenie",7
"chcą",7
"chociaz",7
"chłopaki",7
"ciekawie",7
"cisza",7
"coraz",7
"czarnej",7
"czytal",7
"dane",7
"dał",7
"deszczem",7
"dluzej",7
"dnia",7
"drogi",7
"eee",7
"email",7
"fakt",7
"glowa",7
"gorąco",7
"gosc",7
"gratulacje",7
"grupa",7
"grupie",7
"innego",7
"jadą",7
"jadłem",7
"jasne",7
"jazdy",7
"jedną",7
"jedzonko",7
"kaśka",7
"kluczy",7
"kod",7
"konca",7
"konto",7
"koron",7
"kościół",7
"krowiak",7
"ksiądz",7
"kupe",7
"latach",7
"liczy",7
"lokalizacji",7
"mail",7
"maly",7
"marcelem",7
"miala",7
"miesiac",7
"mieszkać",7
"modlitwa",7
"modlitwie",7
"moge",7
"mowie",7
"mszę",7
"mówili",7
"najwyzej",7
"napisał",7
"napiszemy",7
"niemiecki",7
"nom",7
"odpada",7
"padać",7
"padł",7
"papiery",7
"parafii",7
"pawla",7
"pawła",7
"pieczywo",7
"pij",7
"pilnuj",7
"pizza",7
"pobudka",7
"pochmurno",7
"poczytaj",7
"początku",7
"pojedziemy",7
"popiszemy",7
"potrzeba",7
"powie",7
"połowa",7
"projektem",7
"prosto",7
"przeciwko",7
"przyjdzie",7
"pójdzie",7
"pójść",7
"rafal",7
"reszta",7
"robie",7
"robił",7
"rzeszowie",7
"różaniec",7
"samochodem",7
"siedzi",7
"spanie",7
"sprawdz",7
"sprzatac",7
"sprzątać",7
"swieta",7
"szczęście",7
"szukaj",7
"telewizor",7
"temp",7
"towarzystwo",7
"trasy",7
"trudno",7
"tydzien",7
"tyłu",7
"uczelnie",7
"uczyć",7
"udało",7
"usa",7
"wakacje",7
"wejdzie",7
"wiecie",7
"wrócił",7
"wszystkiego",7
"wybierz",7
"yhym",7
"zabrać",7
"zaczął",7
"zadań",7
"zadzwonić",7
"zdrowia",7
"zjazd",7
"zjem",7
"zmiany",7
"zmienia",7
"zna",7
"zobaczyć",7
"zobaczę",7
"zresztą",7
"zupę",7
"ładne",7
"łóżku",7
"środku",7
"analiza",6
"betlejem",6
"białe",6
"blok",6
"bożena",6
"bys",6
"bądź",6
"chcecie",6
"chciało",6
"chodnik",6
"chwalił",6
"ciapie",6
"ciekawy",6
"ciezko",6
"cis",6
"ciągle",6
"codziennie",6
"czarna",6
"części",6
"dabrowce",6
"dali",6
"data",6
"dniu",6
"dobrego",6
"drugą",6
"duzy",6
"dwoch",6
"dwóch",6
"dziękuję",6
"dzwon",6
"dzwonic",6
"ehh",6
"fajni",6
"fic",6
"filipem",6
"firma",6
"forum",6
"fotek",6
"gadac",6
"glowe",6
"gory",6
"gotowe",6
"grecji",6
"góra",6
"hasło",6
"hmm",6
"hotel",6
"impreza",6
"imprezy",6
"informacje",6
"jacka",6
"jada",6
"jakiej",6
"jana",6
"jasiek",6
"jechal",6
"jedli",6
"jednym",6
"jedyny",6
"jedzeniu",6
"jes",6
"jestescie",6
"kawę",6
"kiedyś",6
"klima",6
"kolacja",6
"kolacji",6
"kolory",6
"komputer",6
"koncerty",6
"konkretnie",6
"kupuje",6
"kurz",6
"leki",6
"lot",6
"magdusi",6
"magnes",6
"makaron",6
"mat",6
"małym",6
"miało",6
"mieście",6
"mleko",6
"modlic",6
"mogl",6
"mowili",6
"msze",6
"musicie",6
"mówią",6
"napisze",6
"narodzenia",6
"nart",6
"naszej",6
"neobus",6
"nerwy",6
"niedawno",6
"niedzieli",6
"nieraz",6
"niezły",6
"nos",6
"nowym",6
"odezwiemy",6
"ogladac",6
"ogladam",6
"oknie",6
"okolice",6
"ooo",6
"ostatnia",6
"pasuje",6
"patrzyłem",6
"pewny",6
"piknik",6
"pilnować",6
"pismo",6
"pizze",6
"plac",6
"plecy",6
"poczatku",6
