"","user","hour","srednio_na_godzine"
"150","Jan",1,0.0351239669421488
"151","Jan",7,0.0268595041322314
"152","Jan",8,0.0909090909090909
"153","Jan",9,0.181818181818182
"154","Jan",10,0.295454545454545
"155","Jan",11,0.384297520661157
"156","Jan",12,0.545454545454545
"157","Jan",13,0.737603305785124
"158","Jan",14,0.805785123966942
"159","Jan",15,0.40702479338843
"160","Jan",16,0.444214876033058
"161","Jan",17,0.291322314049587
"162","Jan",18,0.415289256198347
"163","Jan",19,0.464876033057851
"164","Jan",20,0.627329192546584
"165","Jan",21,0.625258799171843
"166","Jan",22,0.795454545454545
"167","Jan",23,0.53099173553719
"168","Jan",0,0.301652892561983
